agent_id,quarter_initial,income_initial,quintile_initial,skills_initial,oer_engaged_initial,signal_completed_initial,employment_initial,quarter_final,income_final,quintile_final,skills_final,oer_engaged_final,signal_completed_final,employment_final
5404,0,53715.98074839536,1,0.0,False,False,employed,40,153703.18781760117,3,0.0,False,False,employed
5405,0,135684.67380517867,3,0.0,False,False,employed,40,147489.74035622564,3,0.0,False,False,employed
5406,0,55360.27975503134,1,0.0,False,False,employed,40,702417.3214580669,4,0.0,False,False,employed
5407,0,11994.057450592076,0,0.0,False,False,employed,40,16385.852173354957,0,0.0,False,False,employed
5408,0,544882.7544966346,4,0.0,True,False,employed,40,2806661.0470782877,4,2.7352959807630763,False,False,employed
5409,0,88882.30506369562,2,0.0,False,False,employed,40,54688.213414409045,1,0.0,False,False,employed
5410,0,42675.31150608857,1,0.0,False,False,employed,40,70015.99808357848,2,0.0,False,False,employed
5411,0,269424.5144058372,3,0.0,False,False,employed,40,440514.51426594297,4,0.0,False,False,employed
5412,0,326077.20034641545,4,0.0,False,False,employed,40,81955.91470180149,2,0.0,False,False,employed
5413,0,20007.018060334078,0,0.0,False,False,employed,40,32511.331470605306,1,0.0,False,False,employed
5414,0,11111.717466252372,0,0.0,False,False,employed,40,12039.511071997404,0,0.0,False,False,employed
5415,0,64455.35594187987,2,0.0,False,False,employed,40,176615.29019819415,4,0.0,False,False,employed
5416,0,157364.9806601041,2,0.0,False,False,employed,40,297299.78676146694,4,0.0,False,False,employed
5417,0,178433.38402041054,2,0.0,False,False,employed,40,1360032.8670494414,4,0.0,False,False,employed
5418,0,133055.82523795575,2,0.0,False,False,employed,40,1395731.1970898206,4,0.0,False,False,employed
5419,0,126895.5513754092,3,0.0,False,False,not_in_lf,40,126895.5513754092,3,0.0,False,False,not_in_lf
5420,0,459236.98806614894,4,0.0,False,False,employed,40,507071.8471302282,4,0.0,False,False,employed
5421,0,72468.45425870987,3,0.0,False,False,employed,40,59705.790569448836,2,0.0,False,False,employed
5422,0,122575.59308018815,3,0.0,False,False,employed,40,377454.87800103234,4,0.0,False,False,employed
5423,0,453225.7947797116,4,0.0,False,False,not_in_lf,40,453225.7947797116,4,0.0,False,False,not_in_lf
5424,0,141564.37148280852,2,0.0,False,False,employed,40,2073546.6511351618,4,0.0,False,False,employed
5425,0,45502.40818246331,1,0.0,False,False,employed,40,36308.41426898477,1,0.0,False,False,employed
5426,0,254356.88118471293,3,0.0,False,False,employed,40,549564.7986389357,4,0.0,False,False,employed
5427,0,281606.880230537,4,0.0,False,False,employed,40,781135.768229025,4,0.0,False,False,employed
5428,0,473335.58792362164,4,0.0,False,False,employed,40,2726496.1089782673,4,0.0,False,False,employed
5429,0,415622.33914148255,4,0.0,False,False,employed,40,1407952.7185580526,4,0.0,False,False,employed
5430,0,68847.76152688905,2,0.0,False,False,employed,40,67939.13599450234,2,0.0,False,False,employed
5431,0,76957.38587348709,2,0.0,False,False,employed,40,171199.88924522302,4,0.0,False,False,employed
5432,0,3873.739968975919,0,0.0,False,False,employed,40,9024.536202061248,0,0.0,False,False,employed
5433,0,279849.81817512074,4,0.0,False,False,employed,40,944400.0689940181,4,0.0,False,False,employed
5434,0,43022.57227962249,1,0.0,False,False,employed,40,165890.5813334723,4,0.0,False,False,employed
5435,0,283493.27254403697,3,0.0,False,False,employed,40,193752.20348351912,4,0.0,False,False,employed
5436,0,8333.672017099088,0,0.0,False,False,employed,40,34352.603992741766,1,0.0,False,False,employed
5437,0,112388.77252717181,2,0.0,False,False,employed,40,67788.55502690256,2,0.0,False,False,employed
5438,0,8352.815096220329,0,0.0,False,False,employed,40,15957.115817786575,0,0.0,False,False,employed
5439,0,149530.66387535262,3,0.0,False,False,employed,40,254089.0822724551,4,0.0,False,False,employed
5440,0,85146.80761594935,1,0.0,False,False,employed,40,263306.89146262285,4,0.0,False,False,employed
5441,0,24784.22625591133,0,0.0,False,False,employed,40,18863.26057640806,0,0.0,False,False,employed
5442,0,89754.91909591241,1,0.0,False,False,employed,40,70634.23014138573,2,0.0,False,False,employed
5443,0,213523.93551486562,3,0.0,False,False,employed,40,721329.7599165804,4,0.0,False,False,employed
5444,0,48606.37370173577,0,0.0,False,False,employed,40,45707.368768758286,1,0.0,False,False,employed
5445,0,21644.83493927606,0,0.0,False,False,employed,40,45542.05739297131,1,0.0,False,False,employed
5446,0,850853.6258920395,4,0.0,False,False,employed,40,2297699.8780956715,4,0.0,False,False,employed
5447,0,48416.79822831982,1,0.0,False,False,employed,40,97499.37459790938,3,0.0,False,False,employed
5448,0,142297.82468826996,3,0.0,True,False,employed,40,430611.8749815467,4,2.225011753672271,False,False,employed
5449,0,516982.4420797101,4,0.0,False,False,employed,40,905799.7246731226,4,0.0,False,False,employed
5450,0,67204.58223366222,2,0.0,False,False,employed,40,153888.18759553166,3,0.0,False,False,employed
5451,0,154889.69013005466,3,0.0,False,False,employed,40,239327.212323073,4,0.0,False,False,employed
5452,0,752859.5545943376,4,0.0,False,False,employed,40,915356.2527887698,4,0.0,False,False,employed
5453,0,210979.97518500147,2,0.0,False,False,employed,40,357224.03094197495,4,0.0,False,False,employed
5454,0,48315.28200273798,1,0.0,False,False,employed,40,149713.25192190826,3,0.0,False,False,employed
5455,0,60696.79965106416,1,0.0,False,False,employed,40,170649.02426283722,4,0.0,False,False,employed
5456,0,154722.62891480935,3,0.0,False,False,employed,40,177344.7100474008,4,0.0,False,False,employed
5457,0,261953.29842956486,3,0.0,False,False,employed,40,732753.3612056501,4,0.0,False,False,employed
5458,0,73078.7976571609,2,0.0,False,False,employed,40,393737.70974210877,4,0.0,False,False,employed
5459,0,143719.67302563673,2,0.0,False,False,employed,40,109331.3922301442,3,0.0,False,False,employed
5460,0,69153.45062475385,2,0.0,False,False,employed,40,132517.63230253564,3,0.0,False,False,employed
5461,0,97889.91319340454,1,0.0,False,False,employed,40,173339.58534025814,4,0.0,False,False,employed
5462,0,12937.025820494724,0,0.0,False,False,employed,40,14950.676420819118,0,0.0,False,False,employed
5463,0,507629.09425427986,4,0.0,True,False,employed,40,826176.5483100574,4,13.746337691889007,False,False,employed
5464,0,203379.02987136657,2,0.0,False,False,employed,40,1113360.5386918713,4,0.0,False,False,employed
5465,0,479558.35453584837,4,0.0,True,False,employed,40,470111.076473181,4,1.8984267349413508,False,False,employed
